Time,U,y
1,192,192.06
2,192,192.06
3,192,192.06
4,192,192.06
5,192,192.06
6,192,192.06
7,192,192.06
8,192,192.06
9,192,192.06
10,192,192.06
11,192,192.06
12,192,192.06
13,192,192.06
14,192,192.06
15,192,192.06
16,192,192.06
17,192,192.06
18,192,192.06
19,198,192.06
20,198,191.86
21,198,191.88
22,198,192.14
23,198,192.52
24,198,192.52
25,198,192.5
26,198,192.54
27,198,192.18
28,198,191.98
29,198,192.06
30,198,192.16
31,198,192.12
32,198,192.36
33,198,192.68
34,198,192.88
35,198,192.78
36,198,192.88
37,198,192.76
38,198,192.98
39,198,193.26
40,198,193.66
41,198,193.7
42,198,194.1
43,198,193.96
44,198,193.76
45,198,193.7
46,198,193.84
47,198,193.96
48,198,193.96
49,198,193.92
50,198,194.16
51,198,194.08
52,198,193.76
53,198,193.98
54,198,194.2
55,198,194.14
56,198,194.14
57,198,194.32
58,198,194.26
59,198,194.02
60,198,194.16
61,198,194.34
62,198,194.44
63,198,194.52
64,198,194.6
65,198,194.58
66,198,194.32
67,198,194.38
68,198,194.38
69,198,194.4
70,198,194.24
71,198,194.58
72,198,194.58
73,198,194.52
74,198,194.56
75,198,194.56
76,198,194.5
77,198,194.38
78,198,194.44
79,198,194.52
80,198,194.72
81,198,194.66
82,198,194.68
83,198,194.5
